"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"22466050","https://www.airbnb.com/rooms/22468890","Mesa","-111.857799387812","33.4306165354745","https://maps.google.com/maps?q=33.43061653547449197,-111.85779938781212195","REMODELED, centrally located 2BR","5","2","2","0","160","0","Pro Housing"
"22467453","https://www.airbnb.com/rooms/22470273","Scottsdale","-111.911789148135","33.4902679222252","https://maps.google.com/maps?q=33.49026792222515070,-111.91178914813528422","OLD TOWN SCOTTSDALE GOLF RETREAT","4","1","2","1","150","0","Chris"
"22468354","https://www.airbnb.com/rooms/22471205","Scottsdale","-111.934717029461","33.6383644672176","https://maps.google.com/maps?q=33.63836446721758477,-111.93471702946146706","2000 SQFT HOUSE WITH BACK YARD & HEATED POOL","10","2","3","1","150","0","Veronique"
"22468627","https://www.airbnb.com/rooms/22471446","Phoenix","-111.999451742986","33.4841476358704","https://maps.google.com/maps?q=33.48414763587042131,-111.99945174298596839","NEW Built! Arcadia Modern Home Gated Community","8","2.5","3","0","120","0","Maggie"
"22469082","https://www.airbnb.com/rooms/22471806","Scottsdale","-111.932833578997","33.4907968278519","https://maps.google.com/maps?q=33.49079682785194478,-111.93283357899683494","Old Town Scottsdale: Full Condo, Great Location!","6","2","2","1","90","0","Shauna & Blake"
"22469402","https://www.airbnb.com/rooms/22472312","Glendale","-112.189004037073","33.6779314988846","https://maps.google.com/maps?q=33.67793149888455417,-112.18900403707306168","Desert Oasis at Arrowhead Ranch","9","3","4","1","200","0","Jim"
"22470634","https://www.airbnb.com/rooms/22473523","Scottsdale","-111.897167255587","33.483355034631","https://maps.google.com/maps?q=33.48335503463099627,-111.89716725558712085","5 Min to Old Town Scottsdale - Beautiful House","10","2","3","0","150","0","Lorie"
"22475804","https://www.airbnb.com/rooms/22478671","Scottsdale","-111.861058963946","33.6292886876191","https://maps.google.com/maps?q=33.62928868761913037,-111.86105896394612103","Beautiful, newly-renovated North Scottsdale home","4","2","3","1","90","0","Erin"
"22476047","https://www.airbnb.com/rooms/22478942","Gilbert","-111.787003744728","33.3573072793895","https://maps.google.com/maps?q=33.35730727938953066,-111.78700374472779799","Downtown Gilbert Getaway","6","2","3","0","75","0","Cindy & George"
"22477574","https://www.airbnb.com/rooms/22480321","Scottsdale","-111.969652315472","33.6201307997077","https://maps.google.com/maps?q=33.62013079970769525,-111.96965231547157771","NEW! Upscale 4BR Scottsdale Home w/ Pool Table!","8","3","4","0","228","0","Evolve Vacation Rental"
"22477653","https://www.airbnb.com/rooms/22480454","Scottsdale","-111.920906732917","33.4817314280231","https://maps.google.com/maps?q=33.48173142802310309,-111.92090673291748715","NEW! 2BR Scottsdale Apartment w/ Resort Amenities!","6","2","2","1","261","0","Evolve Vacation Rental"
"22478221","https://www.airbnb.com/rooms/22481032","Scottsdale","-111.934381348799","33.5040071183873","https://maps.google.com/maps?q=33.50400711838730672,-111.93438134879919232","Scottsdale Home w/ APRIL DISCOUNT - Near Old Town!","4","1.5","2","1","228","0","Evolve Vacation Rental"
"22478391","https://www.airbnb.com/rooms/22481191","Peoria","-112.331683","33.747166","https://maps.google.com/maps?q=33.74716600000000000,-112.33168300000000000","Family Condo Vistancia","10","2.5","3","1",(NULL),"0","Daisy"
"22480163","https://www.airbnb.com/rooms/22482978","Scottsdale","-111.935365397249","33.5058705868628","https://maps.google.com/maps?q=33.50587058686279818,-111.93536539724870238","Beautifully Remodeled Condo - Old Town Scottsdale","6","2","2","1",(NULL),"1","Matt"
"22481099","https://www.airbnb.com/rooms/22483846","Scottsdale","-111.869857271338","33.5748921937689","https://maps.google.com/maps?q=33.57489219376886780,-111.86985727133763646","2BR Condo Casita in Central Scottsdale","4","2","2","1","200","0","Bruce"
"22481398","https://www.airbnb.com/rooms/22484248","Scottsdale","-111.917552680407","33.4641886056119","https://maps.google.com/maps?q=33.46418860561190911,-111.91755268040675730","Close to Old Town Scottsdale and on the greenbelt!  Fully furnished 1 bedroom an","2","1","1","1",(NULL),"0","Scottsdale"
"22481409","https://www.airbnb.com/rooms/22484249","Scottsdale","-111.917735","33.46465","https://maps.google.com/maps?q=33.46465000000000000,-111.91773500000000000","Hottest prices in town!! Low prices with extra amenities!","2","1","1","1","300","0","Scottsdale"
"22481413","https://www.airbnb.com/rooms/22484251","Scottsdale","-111.917914","33.462451","https://maps.google.com/maps?q=33.46245100000000000,-111.91791400000000000","These prices wont last! Book today!","2","1","1","1","300","0","Scottsdale"
"22481453","https://www.airbnb.com/rooms/22484250","Scottsdale","-111.918076","33.464083","https://maps.google.com/maps?q=33.46408300000000000,-111.91807600000000000","Fully furnished comfort of home and on the greenbelt! Book Now!","2","1","1","1","300","0","Scottsdale"
"22481752","https://www.airbnb.com/rooms/22484253","Scottsdale","-111.91775","33.464329","https://maps.google.com/maps?q=33.46432900000000000,-111.91775000000000000","Gorgeous sunrise- Low prices!! Plus all the amenities you are looking for!","2","1","1","1","300","0","Scottsdale"
"22481755","https://www.airbnb.com/rooms/22484252","Scottsdale","-111.916901","33.464096","https://maps.google.com/maps?q=33.46409600000000000,-111.91690100000000000","Golf, Gym, Food, Pool and more...all at one LOW price!!","2","1","1","1","300","0","Scottsdale"
"22481946","https://www.airbnb.com/rooms/22484697","Phoenix","-111.987525","33.461116","https://maps.google.com/maps?q=33.46111600000000000,-111.98752500000000000","Spacious Apartment in Center of the Valley","6","2","2","1",(NULL),"0","Danielle"
